,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
,2.6468601,1.1444026e-05,0.43034357,3.6337957e-07,1.3351351e-05,0.11023052,0.10886714,0.98981607,5.3761945e-05,0.0008076743,1.009885e-07,1.2127417,2.544946,2.264974e-06,0.041561317,0.20642117,0.0004532502,1.2014292,2.1623304e-08,0.00019751028,1.9467157e-07,7.890456e-09,0.47661597,1.4221505,8.352781e-08,2.9695687,8.940657e-06,1.5435842e-07,0.043775775,0.002056747,0.87773913,7.001873e-09,3.6577354e-08,0.63668674,0.011354234,1.1920922e-06,1.2113131e-07,7.2630044e-08,0.12109612,1.9311718e-05,0.019770585,0.83924824,0.060739618,0.4438641,1.686885e-07,0.010265527,0.13132152,0.00027593144,1.6915825e-09,9.191631e-09,0.04896608,3.7019794e-09,0.02212869,0.82606184,2.790241e-09,7.054438e-08,1.7664423e-08,2.0265559e-06,5.5444184e-07,1.015728e-08,7.986991e-06,2.8610189e-06,7.399194e-08,0.0022093665,1.2023096e-07,0.15164995,0.021957971,0.054360945,4.059421e-09,0.36109635
contig-1.0,2.5260098,2.682173e-05,0.6369096,2.9138062e-07,3.81469e-06,0.45629892,0.028164096,3.866043,0.001087908,0.20607442,1.3113013e-06,0.970362,2.1077685,2.920585e-05,0.37651682,0.65155554,0.017371759,0.49059153,4.769058e-08,0.009144685,9.618633e-08,1.3118901e-08,0.97331977,0.251168,4.9777515e-08,0.7980405,6.675698e-06,9.5367386e-07,0.09818616,0.033807706,3.2355127,3.0870342e-07,2.4524005e-07,0.66981435,0.0013998481,1.4305105e-06,1.072883e-06,3.5521502e-08,0.10985217,2.1338235e-05,0.0019317077,0.21871339,0.05298519,0.30452657,6.144127e-07,0.026081778,0.007671538,0.0104073435,3.9139123e-09,2.6002613e-08,2.9958694,1.9449184e-08,0.04498431,0.018296633,1.6034754e-08,2.264974e-06,1.015045e-07,1.3708975e-05,2.9802277e-06,3.4298516e-08,1.072883e-06,1.2516897e-05,4.3296296e-07,0.078961246,2.8641568e-07,0.24935819,0.0058515198,0.07822059,8.38283e-09,0.7468507
contig-1.1,3.2091396,6.8370144e-07,0.707314,3.4370011e-09,1.9515365e-08,0.18082678,0.026535437,5.5095716,0.0002209896,0.23650715,2.1852378e-08,1.0156751,3.2650506,3.3107233e-07,0.23674323,1.3028593,0.0019734686,0.14305858,8.7428134e-11,0.001113867,1.8153146e-10,1.6772393e-11,0.4485733,0.070284866,9.5381425e-11,1.0220472,6.263287e-08,3.820498e-09,0.3648489,0.0068508023,3.4534066,1.3779986e-09,7.725641e-10,0.35868108,4.7324967e-05,2.2987395e-08,8.08545e-09,3.5064444e-11,0.075963974,2.3511183e-07,0.0003474347,0.13051458,0.022830376,0.4123953,3.216452e-09,0.008569964,0.0040598838,0.0048470856,2.270429e-12,7.919669e-11,2.9846718,5.1888157e-11,0.032096215,0.002244574,3.4642914e-11,3.363461e-08,3.203935e-10,1.4577961e-07,3.224691e-08,6.745365e-11,3.785897e-09,2.520458e-07,1.2929577e-09,0.023425726,9.329395e-10,0.21384409,0.0014953157,0.0302038,1.3322347e-11,0.70581263
contig-10000000,0.8086122,0.03577177,0.65926427,0.015605358,0.033007924,0.2838373,0.26101643,1.3539045,0.38249284,0.2979062,0.022308005,0.4245886,0.87656903,0.04781883,0.25561368,0.9080106,0.17770872,0.634923,0.010629112,0.15549932,0.010388939,0.0058903913,0.41956395,0.14851914,0.009650483,0.42545062,0.026036019,0.018768225,0.8568562,0.22241105,0.79822296,0.016260853,0.014236082,0.2311067,0.106812626,0.048763778,0.025950415,0.00984704,0.3908139,0.053700816,0.2586136,0.32797447,0.34648094,0.7207082,0.02339184,0.32737008,0.21205111,0.20559633,0.0058210613,0.015616508,0.4729131,0.011376983,0.2777332,0.0870337,0.009141259,0.037737828,0.014126543,0.058275152,0.026108027,0.012366052,0.021881234,0.03473029,0.016337322,0.34929165,0.017152771,0.8435458,0.199943,0.3203968,0.008985323,0.49374288
contig-10000000008,0.6933853,0.28456905,0.5520951,0.23997065,0.25363544,0.44847816,0.4604322,0.50972825,0.28246468,0.3178838,0.25137338,0.4243359,0.54605454,0.2691565,0.49534127,0.48522294,0.32665128,0.5327369,0.2100326,0.35726994,0.22269818,0.2073548,0.40766194,0.5179639,0.21433468,0.6828814,0.24953589,0.23445278,0.39409843,0.4168791,0.47104758,0.2048665,0.19829065,0.44568002,0.39020425,0.225855,0.22182757,0.22565848,0.5512204,0.2525456,0.42065594,0.464195,0.5077339,0.46454185,0.20762534,0.42885068,0.48116565,0.29299065,0.18145944,0.1889331,0.44699043,0.18553914,0.4197834,0.5197513,0.18090498,0.21960834,0.21573244,0.25028145,0.22906926,0.19791378,0.2510866,0.23328519,0.20115365,0.29724225,0.2396925,0.43465182,0.48986644,0.5360444,0.20154305,0.42768723
contig-1000007.1,2.5843532,1.0490363e-05,0.37227955,1.9073468e-06,1.6689287e-06,0.039485652,0.2615119,1.5864149,0.00047302977,0.0152548505,1.6689287e-06,0.40042898,3.5208306,1.0847986e-05,0.626261,0.28359413,0.0022097235,0.32993105,2.3480293e-08,0.0039656106,1.2321699e-07,1.4594493e-08,0.2384973,0.4088169,1.0944314e-07,2.8959746,4.1723165e-06,2.4292882e-07,0.35517082,0.0022380324,0.31577814,8.955502e-08,4.1215014e-08,0.38521555,0.0008045774,1.1920922e-06,6.38071e-07,5.1602314e-08,0.19809137,2.622601e-06,0.014877206,0.6931435,0.061422363,0.48692662,9.149673e-08,0.011427072,0.6005145,0.0013954436,1.929929e-09,1.37977985e-08,0.051015604,3.038054e-08,0.6521785,0.09726971,5.833403e-09,4.811702e-07,5.7261122e-08,4.887569e-06,1.3113013e-06,1.6365677e-08,8.344647e-07,3.4570635e-06,3.7257823e-08,0.00086234574,1.464208e-07,0.20210995,0.04398091,0.08923869,1.761322e-08,0.58919233
contig-1006000010,0.6980456,0.21914913,0.6087667,0.20477588,0.24755643,0.4580686,0.42859855,0.6076812,0.29940066,0.41777137,0.18402731,0.5485803,0.586112,0.19821438,0.3687964,0.62784594,0.3008849,0.54408354,0.1579206,0.27131093,0.18187217,0.1585976,0.4387172,0.5227795,0.16957553,0.5724766,0.24658778,0.18967839,0.45278662,0.4086406,0.5809064,0.15593128,0.16266325,0.41215384,0.34783593,0.23249198,0.17707735,0.15602836,0.52888596,0.27187595,0.38144466,0.42969373,0.5156799,0.4636916,0.18517853,0.43798676,0.41004226,0.3244613,0.14219363,0.15682285,0.5880853,0.1384537,0.36778188,0.35560194,0.13741344,0.19980215,0.16120763,0.24023807,0.22077937,0.15967278,0.20214325,0.26756737,0.18926343,0.40300876,0.20641185,0.4178216,0.40935275,0.50093025,0.12102968,0.42646766
contig-10184000006,0.69876355,0.24554211,0.5485375,0.22590369,0.22401148,0.4354606,0.44218233,0.5216355,0.27754492,0.33069974,0.22451067,0.42967978,0.5472147,0.27167127,0.49799564,0.4720996,0.34016997,0.5359043,0.18129079,0.3595291,0.20915572,0.19044332,0.37300563,0.5095156,0.19816764,0.6699285,0.24174942,0.21850473,0.39803532,0.40447748,0.47504842,0.19777684,0.177897,0.52137876,0.41628852,0.21394621,0.20860538,0.19683568,0.55089957,0.22742382,0.42435023,0.49671358,0.5023912,0.45906213,0.2006626,0.40786391,0.5142174,0.2700182,0.1668328,0.17528711,0.43939903,0.17407857,0.43964723,0.5220675,0.1768938,0.21797618,0.18921866,0.23324518,0.22578366,0.18277946,0.22759824,0.21630949,0.1907064,0.27621397,0.21034802,0.38671005,0.47525984,0.5324006,0.18409683,0.42463306
contig-10291000003,0.6992845,0.24505651,0.551085,0.22100417,0.22595474,0.40914842,0.4628911,0.50505906,0.2647991,0.33390942,0.22616214,0.41333407,0.51790786,0.26584074,0.46697658,0.46665886,0.288645,0.519154,0.18395263,0.32964948,0.1954042,0.20340474,0.3243228,0.48387527,0.20321213,0.67057866,0.22646919,0.20281541,0.41183046,0.40188935,0.43938622,0.19608247,0.17704292,0.5712604,0.4140225,0.21458308,0.19814652,0.19311339,0.5552331,0.21128719,0.43248856,0.4980225,0.4926352,0.49197805,0.21362844,0.40902534,0.55202854,0.2753006,0.1668666,0.17907482,0.4132187,0.17131174,0.4077721,0.5781151,0.17318763,0.20219399,0.1925504,0.21735097,0.23905405,0.19118476,0.24031195,0.1980505,0.1865994,0.2630589,0.20462579,0.3822185,0.49080083,0.5120088,0.18587467,0.41836157
contig-10341000000,0.8268552,0.08992753,0.4963687,0.072295316,0.072598785,0.34585902,0.42269775,0.5125058,0.11703921,0.23946856,0.07255011,0.41717824,0.5924328,0.122486815,0.5225346,0.3665363,0.17723773,0.46251458,0.041731577,0.21195023,0.05208836,0.04762721,0.25496918,0.5246326,0.055520456,0.8776505,0.0816221,0.052262496,0.31838092,0.2763215,0.43532917,0.050065186,0.044715658,0.73075587,0.31378075,0.06099772,0.056869302,0.047468748,0.49972588,0.06777667,0.31219646,0.58572733,0.40068224,0.49396458,0.061002653,0.27267522,0.57875896,0.14515232,0.032629654,0.03703998,0.33497477,0.03881356,0.39270654,0.67590165,0.038202293,0.060782805,0.047787692,0.0709267,0.08227822,0.04321274,0.08048841,0.06279484,0.04438992,0.12832953,0.055035308,0.25096118,0.41490856,0.44852853,0.041319538,0.424822
